Vaccine,Geography Type,Geography,FIPS,Season/Survey Year,Month,Dimension Type,Dimension,Estimate (%),95% CI (%),Sample Size
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,18-64 Years,Medical Setting,59.4,53.7 to 65.1,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,18-49 Years,Medical Setting,43.3,35.5 to 51.1,804
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,50-64 Years,Medical Setting,55.9,47.9 to 63.9,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,18-64 Years,Medical Setting,45.0,39.3 to 50.7,1264
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,>=65 Years,Medical Setting,58.4,52.5 to 64.3,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,50-64 Years,Medical Setting,47.3,39.0 to 55.6,460
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,6 Months - 17 Years,Medical Setting,88.0,86.1 to 89.8,2563
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,18-49 Years,Medical Setting,62.0,54.0 to 70.0,
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,6 Months - 17 Years,Medical Setting,92.4,90.9 to 93.9,2223
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,>=65 Years,Medical Setting,47.7,39.9 to 55.5,536
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,>=18 Years,Pharmacy/Store,25.7,22.5 to 28.9,315
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,>=18 Years,Pharmacy/Store,26.4,22.7 to 30.1,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,>=18 Years,Pharmacy/Store,40.4,35.9 to 44.9,1800
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,6 Months - 17 Years,Pharmacy/Store,5.5,4.2 to 6.8,124
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,6 Months - 17 Years,Pharmacy/Store,5.0,3.8 to 6.3,2069
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,>=18 Years,Medical Setting,59.0,54.8 to 63.2,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,>=18 Years,Medical Setting,46.0,41.4 to 50.6,1800
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,6 Months - 17 Years,Medical Setting,92.8,91.2 to 94.1,2069
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,>=18 Years,Medical Setting,52.8,48.8 to 56.8,530
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,18-64 Years,Workplace,14.3,10.3 to 18.3,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,18-49 Years,Workplace,14.2,9.2 to 19.2,804
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,50-64 Years,Workplace,11.4,6.8 to 16.0,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,18-64 Years,Workplace,15.4,11.5 to 19.3,1264
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,18-49 Years,Workplace,16.6,10.5 to 22.7,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,>=18 Years,Workplace,10.1,7.5 to 12.7,1800
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,>=65 Years,Pharmacy/Store,34.8,29.1 to 40.5,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,>=65 Years,Pharmacy/Store,47.9,40.2 to 55.6,536
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,>=18 Years,Workplace,9.6,7.0 to 12.2,
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,>=18 Years,Workplace,14.7,11.7 to 17.7,132
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,18-64 Years,Pharmacy/Store,21.3,16.6 to 26.0,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,18-64 Years,Pharmacy/Store,36.4,30.8 to 42.0,1264
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,50-64 Years,Pharmacy/Store,27.4,20.0 to 34.8,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,50-64 Years,Pharmacy/Store,34.1,26.4 to 41.8,460
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,6 Months - 17 Years,Pharmacy/Store,10.7,9.1 to 12.6,2563
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,18-49 Years,Pharmacy/Store,16.5,10.5 to 22.5,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,18-49 Years,Pharmacy/Store,38.2,30.4 to 46.0,804
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,>=65 Years,Workplace,0.2,-0.2 to 0.6,536
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,1,>=65 Years,Workplace,2.0,0.4 to 3.6,
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,1,50-64 Years,Workplace,17.0,10.7 to 23.3,460
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,1,>=18 Years,Non-Medical Setting,47.2,43.2 to 51.2,518
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,8,Age,>=65 Years,1.4,0.6 to 2.2,1371
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,9,Age,>=65 Years,12.7,10.5 to 14.9,1371
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,10,Age,>=65 Years,41.5,38.2 to 44.8,1371
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,11,Age,>=65 Years,51.4,48.1 to 54.7,1371
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,12,Age,18-64 Years,30.3,27.6 to 33.0,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,1,Age,18-64 Years,32.4,29.5 to 35.3,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,8,Age,18-64 Years not at High Risk,NR †,NR †,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,9,Age,18-64 Years not at High Risk,6.7,4.9 to 8.5,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,10,Age,18-64 Years not at High Risk,18.8,15.9 to 21.7,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,11,Age,18-64 Years not at High Risk,24.4,21.3 to 27.5,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,12,Age,18-64 Years not at High Risk,27.2,23.7 to 30.7,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,1,Age,18-64 Years not at High Risk,29.5,25.8 to 33.2,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,2,Age,18-64 Years not at High Risk,29.8,26.1 to 33.5,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,10,Race and Ethnicity,"Black, Non-Hispanic",26.0,18.4 to 33.6,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,11,Race and Ethnicity,"Black, Non-Hispanic",39.7,29.5 to 49.9 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,12,Race and Ethnicity,"Black, Non-Hispanic",41.4,31.2 to 51.6 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,1,Race and Ethnicity,"Black, Non-Hispanic",44.1,33.8 to 54.4 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,2,Race and Ethnicity,"Black, Non-Hispanic",44.9,34.6 to 55.2 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,3,Race and Ethnicity,"Black, Non-Hispanic",45.3,35.0 to 55.6 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,4,Race and Ethnicity,"Black, Non-Hispanic",45.5,35.2 to 55.8 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,11,Age,18-49 Years at High Risk,26.0,16.0 to 36.0,141
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,12,Age,18-49 Years at High Risk,27.1,16.9 to 37.3 ‡,141
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,1,Age,18-49 Years at High Risk,28.3,17.9 to 38.7 ‡,141
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,2,Age,18-49 Years at High Risk,28.3,17.9 to 38.7 ‡,141
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,3,Age,18-49 Years at High Risk,28.3,17.9 to 38.7 ‡,141
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,4,Age,18-49 Years at High Risk,28.3,17.9 to 38.7 ‡,141
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,5,Age,18-49 Years at High Risk,28.3,17.9 to 38.7 ‡,141
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,2,Age,18-64 Years,33.8,30.9 to 36.7,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,3,Age,18-64 Years,34.2,31.3 to 37.1,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,4,Age,18-64 Years,34.8,31.7 to 37.9,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,5,Age,18-64 Years,34.8,31.7 to 37.9,2338
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,8,Age,18-64 Years,NR †,NR †,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,7,Age,18-64 Years,NR †,NR †,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,9,Age,18-64 Years,6.4,4.8 to 8.0,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,8,Age,>=65 Years,NR †,NR †,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,9,Age,>=65 Years,9.7,7.3 to 12.1,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,10,Age,>=65 Years,39.2,35.1 to 43.3,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,11,Age,>=65 Years,54.4,49.9 to 58.9,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,12,Age,>=65 Years,58.3,53.8 to 62.8,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,1,Age,>=65 Years,59.0,54.5 to 63.5,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,2,Age,>=65 Years,60.3,55.8 to 64.8,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,12,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",38.0,31.7 to 44.3,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,11,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",34.8,28.9 to 40.7,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,10,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",25.3,20.7 to 29.9,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,9,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",11.5,7.8 to 15.2,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,8,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",5.4,2.5 to 8.3,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,7,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR †,NR †,753
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,12,Age,18-49 Years at High Risk,20.8,14.7 to 26.9,232
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,11,Age,18-49 Years at High Risk,19.3,13.4 to 25.2,232
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,10,Age,18-49 Years at High Risk,16.7,11.2 to 22.2,232
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,9,Age,18-49 Years at High Risk,8.2,4.3 to 12.1,232
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,12,Race and Ethnicity,"Black, Non-Hispanic",33.8,27.7 to 39.9,859
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,11,Race and Ethnicity,"Black, Non-Hispanic",30.7,24.9 to 36.5,859
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,10,Race and Ethnicity,"Black, Non-Hispanic",24.1,19.3 to 28.9,859
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,9,Race and Ethnicity,"Black, Non-Hispanic",10.2,7.2 to 13.2,859
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,8,Age,18-49 Years at High Risk,NR †,NR †,232
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,7,Age,18-49 Years at High Risk,0.0,0.0 to 0.0,232
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,8,Race and Ethnicity,"Black, Non-Hispanic",3.7,2.0 to 5.4,859
Seasonal Influenza,States/Local Areas,Illinois,17,2020-21,7,Race and Ethnicity,"Black, Non-Hispanic",NR †,NR †,859
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,5,Age,18-64 Years not at High Risk,30.1,26.2 to 34.0,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,5,Race and Ethnicity,"Black, Non-Hispanic",45.5,35.2 to 55.8 ‡,763
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,9,Age,18-64 Years not at High Risk,5.9,4.7 to 7.1,2164
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,8,Age,18-64 Years not at High Risk,1.2,0.6 to 1.8,2164
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,4,Age,>=65 Years,63.9,55.5 to 72.3,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2010-11,5,Age,>=65 Years,63.9,55.5 to 72.3,1530
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,8,Age,>=65 Years,2.0,1.0 to 3.0,1565
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,9,Age,>=65 Years,11.7,9.5 to 13.9,1565
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,10,Age,>=65 Years,38.6,35.3 to 41.9,1565
Seasonal Influenza,States/Local Areas,Illinois,17,2011-12,11,Age,>=65 Years,50.4,46.9 to 53.9,1565
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,3,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.9,36.7 to 53.1,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,2,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.6,36.4 to 52.8,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,1,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",40.6,34.2 to 47.0,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,5,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.9,36.7 to 53.1,753
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,4,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",44.9,36.7 to 53.1,753
Seasonal Influenza,States/Local Areas,Illinois,17,2019-20,7,Race and Ethnicity,"Other or Multiple Races, Non-Hispanic",NR †,NR †,720
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,10,Age,18-64 Years,20.6,18.1 to 23.1,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,11,Age,18-64 Years,26.6,23.7 to 29.5,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,12,Age,18-64 Years,29.6,26.3 to 32.9,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,1,Age,18-64 Years,31.6,28.3 to 34.9,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,2,Age,18-64 Years,31.9,28.4 to 35.4,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,3,Age,18-64 Years,32.2,28.7 to 35.7,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,4,Age,18-64 Years,32.2,28.7 to 35.7,1537
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,3,Age,18-64 Years not at High Risk,30.1,26.2 to 34.0,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2016-17,4,Age,18-64 Years not at High Risk,30.1,26.2 to 34.0,1156
Seasonal Influenza,States/Local Areas,Illinois,17,2017-18,7,Age,18-64 Years not at High Risk,NR †,NR †,2164
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,4,Age,18-64 Years not at High Risk,31.9,29.0 to 34.8,2113
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,7,Age,18-64 Years not at High Risk,NR †,NR †,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2014-15,5,Age,18-64 Years not at High Risk,31.9,29.0 to 34.8,2113
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,12,Race and Ethnicity,"Black, Non-Hispanic",33.0,28.6 to 37.4,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,11,Race and Ethnicity,"Black, Non-Hispanic",28.5,24.6 to 32.4,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,10,Race and Ethnicity,"Black, Non-Hispanic",23.2,19.7 to 26.7,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,9,Race and Ethnicity,"Black, Non-Hispanic",10.1,7.5 to 12.7,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,8,Age,18-64 Years not at High Risk,NR †,NR †,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,9,Age,18-64 Years not at High Risk,5.4,4.0 to 6.8,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,10,Age,18-64 Years not at High Risk,17.7,15.5 to 19.9,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,1,Race and Ethnicity,"Black, Non-Hispanic",35.5,30.9 to 40.1,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2018-19,2,Race and Ethnicity,"Black, Non-Hispanic",38.0,33.3 to 42.7,1023
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,11,Age,18-64 Years not at High Risk,26.0,22.9 to 29.1,1761
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,8,Age,18-49 Years at High Risk,NR †,NR †,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,9,Age,18-49 Years at High Risk,NR †,NR †,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,10,Age,18-49 Years at High Risk,22.8,15.2 to 30.4,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,11,Age,18-49 Years at High Risk,30.2,21.6 to 38.8,205
Seasonal Influenza,States/Local Areas,Illinois,17,2015-16,12,Age,18-49 Years at High Risk,34.3,25.5 to 43.1,205
