date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2010-09-01 00:00:00,24.8,21.7,27.2,,,,13.6,,1013.1,
2010-09-02 00:00:00,23.4,19,28.3,,,,9.8,,1009.8,
2010-09-03 00:00:00,17.4,15,21.1,,,,24.5,,1009.3,
2010-09-04 00:00:00,14.9,10.6,19.4,,,,20.4,,1014.3,
2010-09-05 00:00:00,17.5,10,24.4,,,,13.3,,1014.6,
2010-09-06 00:00:00,23.4,19.4,27.8,,,,23.3,,1010.3,
2010-09-07 00:00:00,21.6,16.1,25.6,,,,31.8,,1011.7,
2010-09-08 00:00:00,15.9,10.6,21.7,0,,,11,,1019.1,
2010-09-09 00:00:00,15,11.1,19.4,0,,,10.4,,1019.4,
2010-09-10 00:00:00,18.3,13.9,22.2,0,,,14.1,,1015.5,
2010-09-11 00:00:00,18.4,15,23.9,,,,16.6,,1011,
2010-09-12 00:00:00,20.4,12.8,27.8,0,,,12.3,,1016.1,
2010-09-13 00:00:00,21.5,13.9,27.2,0,,,10.6,,1016,
2010-09-14 00:00:00,18.8,13.3,25,0,,,7.9,,1019,
2010-09-15 00:00:00,19.7,15,23.3,0,,,13.9,,1017.2,
2010-09-16 00:00:00,18.3,15,21.7,,,,18.7,,1010.7,
2010-09-17 00:00:00,16.6,9.4,22.8,0,,,7,,1018.7,
2010-09-18 00:00:00,17.1,15,18.3,8.9,,,10.6,,1019.9,
2010-09-19 00:00:00,15.7,13.3,19.4,,,,12.6,,1022.4,
2010-09-20 00:00:00,20,15.6,23.9,,,,10.8,,1017.7,
2010-09-21 00:00:00,24.2,20,31.1,,,,18.4,,1011.3,
2010-09-22 00:00:00,19.4,17.2,22.2,,,,10.2,,1016.2,
2010-09-23 00:00:00,25.1,17.8,31.7,,,,24.6,,1012.8,
2010-09-24 00:00:00,19.9,15,26.7,,,,30.6,,1010.6,
2010-09-25 00:00:00,12.4,11.1,14.4,0,,,14.2,,1019.6,
2010-09-26 00:00:00,12.3,10.6,14.4,,,,16.8,,1020.8,
2010-09-27 00:00:00,12.8,10,16.7,0,,,8.2,,1014.9,
2010-09-28 00:00:00,15.2,8.9,21.7,0,,,6.9,,1008.5,
2010-09-29 00:00:00,17.2,11.7,23.9,0,,,8.3,,1009.9,
2010-09-30 00:00:00,17.9,13.9,22.8,0,,,15.3,,1012.5,
2010-10-01 00:00:00,15.6,8.9,22.2,0,,,9.2,,1017.7,
2010-10-02 00:00:00,10.5,7.2,13.9,,,,24.5,,1021.1,
2010-10-03 00:00:00,8.8,5.6,12.8,,,,19.1,,1028.3,
2010-10-04 00:00:00,9.8,4.4,15,0,,,7.2,,1029,
2010-10-05 00:00:00,11.8,4.4,19.4,0,,,5.8,,1027.5,
2010-10-06 00:00:00,16.5,7.8,25.6,0,,,11.5,,1019.1,
2010-10-07 00:00:00,16.6,9.4,23.9,0,,,10.6,,1018.1,
2010-10-08 00:00:00,17.8,9.4,26.1,0,,,11.7,,1017.3,
2010-10-09 00:00:00,20.6,13.3,29.4,0,,,6.4,,1015,
2010-10-10 00:00:00,20.6,13.9,28.9,0,,,6.6,,1012.6,
2010-10-11 00:00:00,18.4,13.3,27.2,0,,,6.4,,1010,
2010-10-12 00:00:00,17.1,12.2,24.4,0,,,6.5,,1013,
2010-10-13 00:00:00,14.6,9.4,18.9,2.5,,,13,,1017.5,
2010-10-14 00:00:00,12.9,6.7,18.3,0,,,13.3,,1015.8,
2010-10-15 00:00:00,12.5,7.8,17.2,0,,,15.5,,1016.4,
2010-10-16 00:00:00,13,4.4,21.1,0,,,13.7,,1018,
2010-10-17 00:00:00,13.1,8.9,17.8,0,,,9.6,,1018.5,
2010-10-18 00:00:00,11.7,8.9,15,0,,,9.3,,1016.9,
2010-10-19 00:00:00,9.8,4.4,15,0,,,11.6,,1015.3,
2010-10-20 00:00:00,13.4,7.2,21.1,,,,19.6,,1007.9,
2010-10-21 00:00:00,8.9,5,13.3,0,,,16.1,,1013.4,
2010-10-22 00:00:00,9.8,1.1,17.2,0.5,,,9.4,,1019,
2010-10-23 00:00:00,15.8,12.2,18.3,,,,18.4,,1014.2,
2010-10-24 00:00:00,17.5,13.3,21.7,,,,16.8,,1007.5,
2010-10-25 00:00:00,17.9,13.9,21.7,0,,,17.6,,999.4,
2010-10-26 00:00:00,16.3,12.2,21.1,,,,41.8,,989.4,
2010-10-27 00:00:00,12.7,6.1,18.3,0,,,38.2,,1001.2,
2010-10-28 00:00:00,5.9,3.9,7.2,,,,24.2,,1018.7,
2010-10-29 00:00:00,5,-0.6,9.4,0,,,13.8,,1025.3,
2010-10-30 00:00:00,10.2,5.6,17.2,0,,,21.6,,1011.8,
2010-10-31 00:00:00,6.3,2.2,10,0,,,12.6,,1021.8,
2010-11-01 00:00:00,6.2,0.6,11.7,0,,,8.3,,1029.9,
2010-11-02 00:00:00,5.5,0.6,11.1,0,,,7.5,,1029.9,
2010-11-03 00:00:00,6,0.6,12.2,,,,11.5,,1016.5,
2010-11-04 00:00:00,6.9,3.9,10,,,,23.4,,1010.6,
2010-11-05 00:00:00,1.7,-1.1,3.9,0,,,20.3,,1017,
2010-11-06 00:00:00,2.2,-3.3,7.8,0,,,10,,1026,
2010-11-07 00:00:00,7.2,1.7,15,0,,,15,,1022,
2010-11-08 00:00:00,10.7,3.9,19.4,0,,,10.5,,1014.5,
2010-11-09 00:00:00,12.1,4.4,20,0,,,9.8,,1014.3,
2010-11-10 00:00:00,12.5,6.1,20,0,,,12.9,,1018.5,
2010-11-11 00:00:00,13.4,7.8,18.9,3.8,,,10.2,,1025.6,
2010-11-12 00:00:00,10.6,9.4,12.8,,,,15.1,,1026.4,
2010-11-13 00:00:00,9.1,3.9,13.9,,,,22,,1013.9,
2010-11-14 00:00:00,4.8,2.8,8.3,,,,22.2,,1011.7,
2010-11-15 00:00:00,5,0.6,10,0,,,12.1,,1011.7,
2010-11-16 00:00:00,5.3,0,9.4,0,,,8.5,,1006.9,
2010-11-17 00:00:00,5.2,2.8,8.3,,,,12.7,,1015.2,
